,Zip Code,City,County
0,32003,Orange Park,Clay
1,32004,Ponte Vedra Beach,Saint Johns
2,32006,Fleming Island,Clay
3,32007,Bostwick,Putnam
4,32008,Branford,Suwannee
5,32009,Bryceville,Nassau
6,32011,Callahan,Nassau
7,32013,Day,Lafayette
8,32024,Lake City,Columbia
9,32025,Lake City,Columbia
10,32026,Raiford,Union
11,32030,Doctors Inlet,Clay
12,32033,Elkton,Saint Johns
13,32034,Fernandina Beach,Nassau
14,32035,Fernandina Beach,Nassau
15,32038,Fort White,Columbia
16,32040,Glen Saint Mary,Baker
17,32041,Yulee,Nassau
18,32042,Graham,Bradford
19,32043,Green Cove Springs,Clay
20,32044,Hampton,Bradford
21,32046,Hilliard,Nassau
22,32050,Middleburg,Clay
23,32052,Jasper,Hamilton
24,32053,Jennings,Hamilton
25,32054,Lake Butler,Union
26,32055,Lake City,Columbia
27,32056,Lake City,Columbia
28,32058,Lawtey,Bradford
29,32059,Lee,Madison
30,32060,Live Oak,Suwannee
31,32061,Lulu,Columbia
32,32062,Mc Alpin,Suwannee
33,32063,Macclenny,Baker
34,32064,Live Oak,Suwannee
35,32065,Orange Park,Clay
36,32066,Mayo,Lafayette
37,32067,Orange Park,Clay
38,32068,Middleburg,Clay
39,32071,O Brien,Suwannee
40,32072,Olustee,Baker
41,32073,Orange Park,Clay
42,32079,Penney Farms,Clay
43,32080,Saint Augustine,Saint Johns
44,32081,Ponte Vedra,Saint Johns
45,32082,Ponte Vedra Beach,Saint Johns
46,32083,Raiford,Union
47,32084,Saint Augustine,Saint Johns
48,32085,Saint Augustine,Saint Johns
49,32086,Saint Augustine,Saint Johns
50,32087,Sanderson,Baker
51,32091,Starke,Bradford
52,32092,Saint Augustine,Saint Johns
53,32094,Wellborn,Suwannee
54,32095,Saint Augustine,Saint Johns
55,32096,White Springs,Hamilton
56,32097,Yulee,Nassau
57,32099,Jacksonville,Duval
58,32102,Astor,Lake
59,32105,Barberville,Volusia
60,32110,Bunnell,Flagler
61,32111,Candler,Marion
62,32112,Crescent City,Putnam
63,32113,Citra,Marion
64,32114,Daytona Beach,Volusia
65,32115,Daytona Beach,Volusia
66,32116,Daytona Beach,Volusia
67,32117,Daytona Beach,Volusia
68,32118,Daytona Beach,Volusia
69,32119,Daytona Beach,Volusia
70,32120,Daytona Beach,Volusia
71,32121,Daytona Beach,Volusia
72,32122,Daytona Beach,Volusia
73,32123,Port Orange,Volusia
74,32124,Daytona Beach,Volusia
75,32125,Daytona Beach,Volusia
76,32126,Daytona Beach,Volusia
77,32127,Port Orange,Volusia
78,32128,Port Orange,Volusia
79,32129,Port Orange,Volusia
80,32130,De Leon Springs,Volusia
81,32131,East Palatka,Putnam
82,32132,Edgewater,Volusia
83,32133,Eastlake Weir,Marion
84,32134,Fort Mc Coy,Marion
85,32135,Palm Coast,Flagler
86,32136,Flagler Beach,Flagler
87,32137,Palm Coast,Flagler
88,32138,Grandin,Putnam
89,32139,Georgetown,Putnam
90,32140,Florahome,Putnam
91,32141,Edgewater,Volusia
92,32142,Palm Coast,Flagler
93,32145,Hastings,Saint Johns
94,32147,Hollister,Putnam
95,32148,Interlachen,Putnam
96,32149,Edgar,Putnam
97,32157,Lake Como,Putnam
98,32158,Lady Lake,Lake
99,32159,Lady Lake,Lake
100,32160,Lake Geneva,Clay
101,32162,Lady Lake,Sumter
102,32164,Palm Coast,Flagler
103,32168,New Smyrna Beach,Volusia
104,32169,New Smyrna Beach,Volusia
105,32170,New Smyrna Beach,Volusia
106,32173,Ormond Beach,Volusia
107,32174,Ormond Beach,Volusia
108,32175,Ormond Beach,Volusia
109,32176,Ormond Beach,Volusia
110,32177,Palatka,Putnam
111,32178,Palatka,Putnam
112,32179,Ocklawaha,Marion
113,32180,Pierson,Volusia
114,32181,Pomona Park,Putnam
115,32182,Orange Springs,Marion
116,32183,Ocklawaha,Marion
117,32185,Putnam Hall,Putnam
118,32187,San Mateo,Putnam
119,32189,Satsuma,Putnam
120,32190,Seville,Volusia
121,32192,Sparr,Marion
122,32193,Welaka,Putnam
123,32195,Weirsdale,Marion
124,32198,Daytona Beach,Volusia
125,32201,Jacksonville,Duval
126,32202,Jacksonville,Duval
127,32203,Jacksonville,Duval
128,32204,Jacksonville,Duval
129,32205,Jacksonville,Duval
130,32206,Jacksonville,Duval
131,32207,Jacksonville,Duval
132,32208,Jacksonville,Duval
133,32209,Jacksonville,Duval
134,32210,Jacksonville,Duval
